condition,prompt_len,ttft_ms,e2e_ms,response_len,vram_used_mb,error
unconstrained,733,1932.47,1932.47,312,8248.7,
unconstrained,244,1917.72,1917.72,380,8248.7,
unconstrained,489,1922.23,1922.23,366,8250.7,
unconstrained,684,1920.65,1920.65,335,8250.7,
unconstrained,782,1919.33,1919.33,301,8250.7,
unconstrained,929,1924.93,1924.93,272,8250.7,
unconstrained,342,1912.85,1912.85,339,8250.7,
unconstrained,635,1923.41,1923.41,333,8250.7,
unconstrained,880,1921.47,1921.47,325,8250.7,
unconstrained,537,1912.84,1912.84,371,8250.7,
unconstrained,97,1912.51,1912.51,328,8250.7,
unconstrained,586,1925.48,1925.48,351,8250.7,
unconstrained,146,1923.01,1923.01,322,8250.7,
unconstrained,831,1943.61,1943.61,332,8250.7,
unconstrained,391,1911.19,1911.19,375,8250.7,
unconstrained,440,1926.4,1926.4,322,8250.7,
unconstrained,48,1914.02,1914.02,242,8250.7,
unconstrained,195,1920.47,1920.47,331,8250.7,
lru,733,1932.49,1932.49,312,8248.7,
lru,244,1919.08,1919.08,380,8248.7,
lru,489,1921.76,1921.76,366,8250.7,
lru,684,1920.71,1920.71,335,8250.7,
lru,782,1920.19,1920.19,301,8250.7,
lru,929,1923.99,1923.99,272,8250.7,
lru,342,1913.82,1913.82,339,8250.7,
lru,635,1923.04,1923.04,333,8250.7,
lru,880,1922.07,1922.07,325,8250.7,
lru,537,1913.58,1913.58,371,8250.7,
lru,97,1913.4,1913.4,328,8250.7,
lru,586,1926.99,1926.99,351,8250.7,
lru,146,1921.62,1921.62,322,8250.7,
lru,831,1944.84,1944.84,332,8250.7,
lru,391,1914.45,1914.45,375,8250.7,
lru,440,1923.11,1923.11,322,8250.7,
lru,48,1913.2,1913.2,242,8250.7,
lru,195,1920.61,1920.61,331,8250.7,
adaptive,733,1931.8,1931.8,312,8248.7,
adaptive,244,1918.82,1918.82,380,8248.7,
adaptive,489,1923.78,1923.78,366,8250.7,
adaptive,684,1921.74,1921.74,335,8250.7,
adaptive,782,1921.15,1921.15,301,8250.7,
adaptive,929,1925.79,1925.79,272,8250.7,
adaptive,342,1915.22,1915.22,339,8250.7,
adaptive,635,1923.93,1923.93,333,8250.7,
adaptive,880,1922.74,1922.74,325,8250.7,
adaptive,537,1914.33,1914.33,371,8250.7,
adaptive,97,1913.4,1913.4,328,8250.7,
adaptive,586,1926.47,1926.47,351,8250.7,
adaptive,146,1919.53,1919.53,322,8250.7,
adaptive,831,1945.23,1945.23,332,8250.7,
adaptive,391,1912.66,1912.66,375,8250.7,
adaptive,440,1923.89,1923.89,322,8250.7,
adaptive,48,1912.74,1912.74,242,8250.7,
adaptive,195,1920.65,1920.65,331,8250.7,
