k,prompt,ttft_ms,e2e_ms,tpot_ms,tokens,acceptance_rate,speedup_ratio,error,draft_model
1,The French Revolution began in 1789 and fundamentally changed,660.04,13006.47,270.97,48,0.875,0.11,,Q4_K_M
1,Distributed training splits computation across multiple devices to,459.19,17351.36,271.11,64,0.969,0.11,,Q4_K_M
1,"Thread affinity pins threads to specific CPU cores, which",658.69,8609.61,269.05,32,0.938,0.111,,Q4_K_M
1,"The Battle of Waterloo was fought on 18 June 1815, marking",481.01,17512.09,273.63,64,0.938,0.109,,Q4_K_M
1,Neural networks consist of layers of interconnected nodes that,459.87,8538.75,266.84,32,0.938,0.112,,Q4_K_M
1,"The internet protocol suite, commonly known as TCP/IP,",464.35,8565.57,267.67,32,0.938,0.111,,Q4_K_M
1,Speculative decoding works by using a smaller draft model to,458.3,17484.01,273.19,64,0.875,0.109,,Q4_K_M
1,Continuous batching allows the server to add new requests to,458.42,8552.23,267.26,32,0.938,0.112,,Q4_K_M
1,Inference latency is affected by both the prefill phase and,658.34,12986.06,270.54,48,0.958,0.11,,Q4_K_M
1,The attention mechanism computes a weighted sum of values based on,658.53,8607.32,268.98,32,1.0,0.111,,Q4_K_M
1,Memory efficiency in large language models is critical because,457.27,8472.46,264.76,32,0.75,0.113,,Q4_K_M
1,The NUMA architecture affects memory access latency because,459.46,8539.22,266.85,32,1.0,0.112,,Q4_K_M
1,The transformer architecture was introduced in 2017 and has since,662.01,12899.11,268.73,48,0.917,0.111,,Q4_K_M
1,Continuous batching allows the server to add new requests to,458.44,12892.82,268.6,48,0.958,0.111,,Q4_K_M
1,Speculative decoding works by using a smaller draft model to,458.23,12891.2,268.57,48,0.833,0.111,,Q4_K_M
1,Photosynthesis is the process by which plants convert light energy into,662.7,17561.76,274.4,64,0.906,0.109,,Q4_K_M
1,"The Battle of Waterloo was fought on 18 June 1815, marking",481.18,12638.19,263.3,48,0.792,0.113,,Q4_K_M
1,"When a user types in an AI-assisted editor, the system must",662.2,8489.46,265.3,32,0.812,0.112,,Q4_K_M
1,Reinforcement learning is a type of machine learning in which,657.8,12983.22,270.48,48,0.958,0.11,,Q4_K_M
1,The time-to-first-token metric measures how long it takes before,661.75,12897.87,268.71,48,0.958,0.111,,Q4_K_M
